g1,g2,n1,n2,eps,feasible,chi,d1_i,d1_j,d1_ij,eps_add,SL,panel,origin
b1856,b2328,mepM,mepA,0.125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b1856,b2328,mepM,mepA,0.0625,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b1856,b2328,mepM,mepA,0.03125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b2483,b2724,hyfC,hycB,1.0,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b2483,b2724,hyfC,hycB,0.5,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b2483,b2724,hyfC,hycB,0.25,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b2483,b2724,hyfC,hycB,0.125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b2483,b2724,hyfC,hycB,0.0625,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b2483,b2724,hyfC,hycB,0.03125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b2149,b4227,mglA,ytfQ,1.0,True,9.482221009833483e-13,5.382110711482784e-12,2.863199319461465e-14,5.382110711482784e-12,0.0,False,ISO,panel
b2149,b4227,mglA,ytfQ,0.5,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b2149,b4227,mglA,ytfQ,0.25,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b2149,b4227,mglA,ytfQ,0.125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b2149,b4227,mglA,ytfQ,0.0625,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b2149,b4227,mglA,ytfQ,0.03125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b2415,b1779,ptsH,gapA,1.0,True,46.79421290117433,54.71267038680389,202.40768494294784,213.46680341480265,-448.43676929105686,False,A,panel
b2415,b1779,ptsH,gapA,0.5,True,23.749370230976975,27.356334326930387,101.0827084617248,106.55287481212801,-448.43676929105686,False,A,panel
b2415,b1779,ptsH,gapA,0.25,True,11.87154650985267,13.678166296993158,50.48541802979729,53.22050235204844,-448.43676929105686,False,A,panel
