gene_bnumber,TB0_declared,TB1_fresh_seed_same_family,TB2_lognormal_family,TB3_absflux_rule,TB4_adversarial_max
b2224,0.14878755862047988,0.14878755862047988,0.14878755862047988,0.14878755862047988,0.14878755862047988
b2838,0.14346995448961264,0.14346995448961264,0.14346995448961264,0.14346995448961264,0.14346995448961264
b4244,0.13829993383684897,0.13829993383684897,0.1382999338368616,0.13829993383684897,0.13829993383686684
b4245,0.13829993383684897,0.13829993383684897,0.1382999338368616,0.13829993383684897,0.13829993383686684
b3642,0.13829993383684897,0.13829993383684897,0.1382999338368616,0.13829993383684897,0.13829993383686684
b1062,0.13829993383684897,0.13829993383684897,0.1382999338368616,0.13829993383684897,0.13829993383686684
b1281,0.13829993383684897,0.13829993383684897,0.1382999338368616,0.13829993383684897,0.13829993383686684
b2599,0.13520151696338242,0.13520151696338242,0.13520151696338242,0.13520151696338242,0.13520151696338242
b2600,0.13520151696338242,0.13520151696338242,0.13520151696338242,0.13520151696338242,0.13520151696338242
b4177,0.12502243782059796,0.12502243782079905,0.12502243781846117,0.12502243781641142,0.12502243782731454
b3960,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.12366575682665054
b2818,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.12366575682665054
b4254,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.12366575682665054
b3957,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.12366575682665054
b0273,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.12366575682665054
b1748,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.12366575682665054
b3959,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.12366575682665054
b3172,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.12366575682665054
b3958,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.12366575682665054
b3772,0.12146538332710646,0.12146538332710646,0.12146538332710646,0.12146538332710646,0.12146538332710646
b3117,0.12146538332710646,0.12146538332710646,0.12146538332710646,0.12146538332710646,0.12146538332710646
b1206,0.10544484140622987,0.10544484140622987,0.10544484140622987,0.10544484140622987,0.10544484140622987
b3781,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394
b0888,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394
b2582,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394
b3607,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394
b2421,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394
b2414,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394
b2764,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394
b2762,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394
b4214,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394
b2763,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394
b2750,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394
b2751,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394
b2752,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.10363119515104394
b2507,0.10189364009436017,0.10189364009435589,0.10189364009435628,0.10189364009436017,0.10189364009435783
b3648,0.10189364009436017,0.10189364009435589,0.10189364009435628,0.10189364009436017,0.1019092033411618
b2508,0.10189364009436017,0.10189364009435589,0.10189364009435628,0.10189364009436017,0.10189364009435783
b3744,0.10078111988102575,0.10078111988102575,0.10078111988102575,0.10078111988102575,0.10078111988102575
b0242,0.09241944973263691,0.09241944973263691,0.09241944973263691,0.09241944973263691,0.09241944973263691
b0243,0.09241944973263691,0.09241944973263691,0.09241944973263691,0.09241944973263691,0.09241944973263691
b0386,0.09241944973263691,0.09241944973263691,0.09241944973263691,0.09241944973263691,0.09241944973263691
b3290,0.08160697406375234,0.08160697406375234,0.08160697406375234,0.08160697406375234,0.08160697406375234
b3849,0.08160697406375234,0.08160697406375234,0.08160697406375234,0.08160697406375234,0.08160697406375234
b1291,0.08160697406375234,0.08160697406375234,0.08160697406375234,0.08160697406375234,0.08160697406375234
b1363,0.08160697406375234,0.08160697406375234,0.08160697406375234,0.08160697406375234,0.08160697406375234
b1250,0.08160697406375234,0.08160697406375234,0.08160697406375234,0.08160697406375234,0.08160697406375234
b3747,0.08160697406375234,0.08160697406375234,0.08160697406375234,0.08160697406375234,0.08160697406375234
b2780,0.06711285502851726,0.06711285502851726,0.06711285502853251,0.06711285502851726,0.06711285502853125
