gene_bnumber,kappa_mu,kappa_vg_all,kappa_vg_int,kappa_dual,kappa_c,kappa_v_lex,n_rxns,kappa_V_E22
b3809,0.05169588632676242,0.05169588632676242,0.0,0.0,0.0,0.021816038065835677,1,0.0218160380658343
b0031,0.05169588632676242,0.05169588632676242,0.0,0.0,0.0,0.021816038065835677,1,0.0218160380658343
b0166,0.05169588632676242,0.05169588632676242,0.0,0.0,0.0,0.021816038065835677,1,0.0218160380658343
b2478,0.05169588632676242,0.05169588632676242,0.0,0.0,0.0,0.021816038065835677,1,0.0218160380658342
b0221,0.04959585286917645,0.04959585286917645,0.0,0.0,0.0,0.020079580585958396,8,0.0200795805859571
b3846,0.04959585286917645,0.04959585286917645,0.0,0.0,0.0,0.020079580585958396,19,0.0200795805859571
b2341,0.04959585286917645,0.04959585286917645,0.0,0.0,0.0,0.020079580585958396,16,0.0200795805859571
b2342,0.04959585286917645,0.04959585286917645,0.0,0.0,0.0,0.020079580585958396,8,0.0200795805859571
b3845,0.04959585286917645,0.04959585286917645,0.0,0.0,0.0,0.020079580585958396,8,0.0200795805859571
b2224,0.04959585286917645,0.04959585286917645,0.0,0.0,0.0,0.020079580585958396,1,0.020079580585957
b2838,0.04782331815904073,0.04782331815904073,0.0,0.0,0.0,0.018669957222062338,1,0.0186699572220611
b4244,0.04609997794160853,0.04609997794160853,0.0,0.0,0.0,0.01734863645862187,1,0.0173486364586207
b4245,0.04609997794160853,0.04609997794160853,0.0,0.0,0.0,0.01734863645862187,1,0.0173486364586207
b3642,0.04609997794160853,0.04609997794160853,0.0,0.0,0.0,0.01734863645862187,1,0.0173486364586207
b1062,0.04609997794160853,0.04609997794160853,0.0,0.0,0.0,0.01734863645862187,1,0.0173486364586207
b1281,0.04609997794160853,0.04609997794160853,0.0,0.0,0.0,0.01734863645862187,1,0.0173486364586207
b2599,0.04506717231720225,0.04506717231720225,0.0,0.0,0.0,0.01658000016844427,2,0.0165800001684432
b2600,0.04506717231720225,0.04506717231720225,0.0,0.0,0.0,0.01658000016844427,2,0.0165800001684432
b4177,0.04167414593234603,0.04167414593234603,0.0,0.0,0.0,0.01417742399322696,1,0.0141774239932306
b3960,0.041221918938629754,0.041221918938629754,0.0,0.0,0.0,0.013871400824118744,1,0.0138714008241178
b2818,0.041221918938629754,0.041221918938629754,0.0,0.0,0.0,0.013871400824118744,1,0.0138714008241178
b4254,0.041221918938629754,0.041221918938629754,0.0,0.0,0.0,0.013871400824118744,1,0.0138714008241178
b3957,0.041221918938629754,0.041221918938629754,0.0,6.800116025829084e-16,0.0,0.013871400824118744,2,0.0138714008241178
b0273,0.041221918938629754,0.041221918938629754,0.0,0.0,0.0,0.013871400824118744,1,0.0138714008241178
b1748,0.041221918938629754,0.041221918938629754,0.0,0.0,0.0,0.013871400824118744,2,0.0138714008241178
