gene_bnumber,kappa_mu_max,kappa_mu_sum,kappa_mu_own,kappa_v_lex,n_rxns,kappa_V_E22
b3956,1.2372587723515611,1.2372587723515611,1.2372587723515611,1.388489133301982,1,1.3884891333019085
b0928,1.2240143049255976,1.3592158218889754,1.2240143049255976,1.3589215586028878,3,1.3589215586029115
b1207,0.3900267594094685,0.3900267594094685,0.3900267594094685,0.13797811611964653,1,0.8203052488796222
b3844,0.9138845580333195,0.9138845580333195,0.9138845580333195,0.7575374015895971,6,0.7575374015895484
b4090,0.9092169988142178,0.9092169988142178,0.9092169988142178,0.7498190937323393,2,0.7498190937323724
b2914,0.9092169988142178,0.9092169988142178,0.9092169988142178,0.7498190937323393,1,0.7498190937323724
b4301,0.8783849377135822,0.8783849377135822,0.8783849377135822,0.6998277537090769,1,0.69982775370912
b3386,0.8783849377135822,0.8783849377135822,0.8783849377135822,0.6998277537090769,1,0.69982775370912
b3870,0.7569882697982837,0.7569882697982837,0.7569882697982837,0.5197562271973369,1,0.5197562271973608
b1297,0.7569882697982837,0.7569882697982837,0.7569882697982837,0.5197562271973369,2,0.5197562271973608
b2913,0.7183395851586432,0.7183395851586432,0.7183395851586432,0.46803787709544475,1,0.4680378770954553
b4388,0.7183395851586432,0.7183395851586432,0.7183395851586432,0.46803787709544475,1,0.4680378770954553
b0907,0.7183395851586432,0.7184328177807977,0.7183395851586432,0.46803787709544475,2,0.4680378770954553
b2465,0.5189088692849896,0.8783849377135985,0.5189088692849896,0.24423257553788003,2,0.2442325755378905
b2464,0.0,0.0,0.0,0.0,1,0.2442325755378905
b2935,0.5189088692849896,0.8783849377135985,0.5189088692849896,0.24423257553788003,2,0.2442325755378905
b0008,0.0,0.0,0.0,0.0,1,0.2442325755378905
b2551,0.46636399990867394,0.46636399990867394,0.46636399990867394,0.19727472141452687,6,0.1972747214145404
b3433,0.4469630437781016,0.4469630437781016,0.4469630437781016,0.18120268704332307,1,0.1812026870433115
b0002,0.4469630437781016,0.7388384285624179,0.4469630437781016,0.18120268704332307,2,0.1812026870433114
b4024,0.4469630437781016,0.4469630437781016,0.4469630437781016,0.18120268704332307,1,0.1812026870433114
b3940,0.4469630437781016,0.7388384285624179,0.4469630437781016,0.18120268704332307,2,0.1812026870433114
b2290,0.24305535553943308,0.24305535553943308,0.24305535553943308,0.05358358806813731,1,0.1599789787217618
b2379,0.24305535553943308,0.24305535553943308,0.24305535553943308,0.05358358806813731,1,0.1599789787217618
b0529,0.41338466689874875,0.8267693337974509,0.41338466689874875,0.1549994401620369,2,0.1549994401620578
b3493,0.40329631188719395,0.40329631188719395,0.40329631188719395,0.14752645362112088,1,0.1475264536211723
b2987,0.40329631188719395,0.40329631188719395,0.40329631188719395,0.14752645362112088,1,0.1475264536211723
b0078,0.3655174499481374,0.48698283327524383,0.3655174499481374,0.12118186502598706,2,0.1211818650259794
b0077,0.3655174499481374,0.48698283327524383,0.3655174499481374,0.12118186502598706,2,0.1211818650259794
b3774,0.3655174499481374,0.487223649376194,0.3655174499481374,0.12118186502598706,3,0.1211818650259794
b3671,0.3655174499481374,0.48698283327524383,0.3655174499481374,0.12118186502598706,2,0.1211818650259794
b3670,0.3655174499481374,0.48698283327524383,0.3655174499481374,0.12118186502598706,2,0.1211818650259794
b3771,0.3655174499481374,0.48698283327524383,0.3655174499481374,0.12118186502598706,2,0.1211818650259794
b0474,1.097454030740503,1.6926594605182923,1.097454030740503,1.0924311477459387,13,0.0991034010905592
b2518,0.33054698833061824,0.5949237665813699,0.33054698833061824,0.09910322793624476,8,0.0991034010905592
b1676,0.0,0.0,0.0,0.0,1,0.0763285398807885
b1854,0.0,0.0,0.0,0.0,1,0.0763285398807885
b0323,0.26196569066349445,0.26196569066349445,0.26196569066349445,0.06224582591539034,1,0.0622458259153863
b0521,0.26196569066349445,0.26196569066349445,0.26196569066349445,0.06224582591539034,1,0.0622458259153863
b2874,0.26196569066349445,0.26196569066349445,0.26196569066349445,0.06224582591539034,1,0.0622458259153863
b4069,0.0,0.0,0.0,0.0,2,0.0538087188670391
b0004,0.2275277340738442,0.2275277340738442,0.2275277340738442,0.046955890941410824,2,0.0469558909414078
b0003,0.2275277340738442,0.2275277340738442,0.2275277340738442,0.046955890941410824,1,0.0469558909414077
b4006,0.2269160779115882,0.4538321558231764,0.2269160779115882,0.04670376997808035,2,0.0467037699780858
b0126,0.21984712196834444,0.21984712196834444,0.21984712196834444,0.043839235396335476,1,0.0438392353963408
