gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,bnum,keio_call,PEC,MG_Tn5,Score
b4086,,2,20,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,0,1385580.4192738335,b4086,N,,,
b4088,,2,20,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,0,1385580.4192738335,b4088,N,,,
b0657,,2,20,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,0,1385580.4192738335,b0657,E,E,u,2.5
b1677,,2,20,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,0,1385580.4192738335,b1677,N,,,
b1781,,1,20,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,0,1385580.4192738335,b1781,N,,,
b3001,,1,20,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,0,1385580.4192738335,b3001,N,,,
b0207,,2,20,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,0,1385580.4192738335,b0207,N,,,
b3091,,1,20,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,0,1385580.4192738335,b3091,N,,,
b3416,,4,20,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,0,1385580.4192738335,b3416,N,,,
b3223,,1,20,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,0,1385580.4192738335,b3223,N,,,
b0774,,1,452,15.44424150377654,0.0,15.44424150377654,1,2729497.7313961494,b0774,N,,,
b3994,,1,452,15.44424150377654,-7.107130256634958e-15,15.444241503776547,1,2729497.7313962304,b3994,N,,,
b1982,,1,16,15.44424150377654,15.444241503776384,1.5631940186722204e-13,0,1385580.4192263817,b1982,N,,,
b0932,,2,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b0932,N,,,
b0237,,3,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b0237,N,,,
b4260,,2,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b4260,N,,,
b1640,,1,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b1640,N,,,
b1263,,2,452,15.44424150377654,1.2946860245787704e-14,15.444241503776528,1,2729497.7313962,b1263,N,,,
b1264,,1,452,15.44424150377654,0.0,15.44424150377654,1,2729497.731396206,b1264,N,,,
b0776,,1,452,15.44424150377654,0.0,15.44424150377654,1,2729497.731396206,b0776,N,,,
b0049,,3,16,15.44424150377654,15.444241503776183,3.552713678800501e-13,0,1385580.419226375,b0049,N,,,
b4129,,2,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b4129,N,,,
b0121,,2,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b0121,N,,,
b3059,,7,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b3059,N,,,
b0968,,7,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b0968,N,,,
b0414,,2,452,15.44424150377654,-7.128284338488208e-15,15.444241503776547,1,2729497.731396201,b0414,E,N,u,1
