reaction_id,kappa_V_real,raw_F,fisher_dist,viability_margin,constraint_violation_rate,natural_grad,random_curvature,recovery_margin_erosion,V_traj_final
E15b,0.00911490496640638,0.041125773467543314,0.11412369237896372,0.025872437319452747,0.0,0.014706571799403417,0.0739416586721008,0.006951265231452064,0.9930487347685479
E17a,0.007227403482753998,0.06770316781470864,0.279274330577243,0.037448737911826624,0.0,0.022907224876133832,0.04737660082940008,0.0,1.0105828520081352
E17b,0.007227403482753998,0.06770316781470864,0.279274330577243,0.037448737911826624,0.0,0.022907224876133832,0.15366500283044904,0.0,1.0105828520081352
E19a,0.007509579759989812,0.04657326858699151,0.14030654901608886,0.02702563907369594,0.0,0.016327894571711375,-0.07420681721289091,0.0004105534915450626,0.9995894465084549
E19b,0.007509579759989812,0.04657326858699151,0.14030654901608886,0.02702563907369594,0.0,0.016327894571711375,0.09522871686055584,0.0004105534915450626,0.9995894465084549
E21a,0.06538402402778339,0.1389828752073703,0.37734939338008455,0.14287858880777032,0.0,0.023144310869756084,0.11288639526776947,0.07508570102668044,0.9249142989733196
E21b,0.06538402402822416,0.13898287520737007,0.37734939338371176,0.14287858880777032,0.0,0.023144310869816644,0.06972897886342651,0.07508570102668044,0.9249142989733196
E23a,0.009296761753423118,0.046810150613342705,0.17121195076380263,0.023346768540537428,0.0,0.01796875934642464,-0.021828946319173884,0.0,1.0035825200049326
E23b,0.009296761753423118,0.046810150613342705,0.17121195076380263,0.023346768540537428,0.0,0.01796875934642464,0.04706950208154569,0.0,1.0035825200049326
G_const,0.00825062106479981,0.03565773680800732,0.09073884484543464,0.021728978026058533,0.0,0.013023109929740788,0.17019502238719209,0.005907256241384995,0.994092743758615
G_auto,0.0002834873878482761,0.17785178628980458,0.7118749862795202,0.36751181532035254,0.0,0.02585413122484809,-0.031343782471219224,0.0,1.4658619135731168
