tau,beta,D,L,mdl,sse,kappa_V,abs_err_kappa
0.1,1.0,0.1,8,-95.20558767165417,12.389528315066931,0.6790861074720786,0.40836417864111707
0.1,1.0,0.1,16,-95.20558767165417,12.389528315066931,0.6790861074720786,0.40836417864111707
0.1,1.0,0.1,32,-95.20558767165417,12.389528315066931,0.6790861074720786,0.40836417864111707
0.1,1.0,0.2,4,-100.44599795093747,11.156735759734934,0.5384889087437092,0.26776697991274767
0.1,1.0,0.2,8,-98.8707369511421,11.513826753178451,0.6306195709520959,0.3598976421211343
0.1,1.0,0.2,16,-98.8707369511421,11.513826753178451,0.6306195709520959,0.3598976421211343
0.1,1.0,0.2,32,-98.8707369511421,11.513826753178451,0.6306195709520959,0.3598976421211343
0.1,1.0,0.5,4,-110.80485219035516,9.069039271258378,0.3486554959092032,0.07793356707824162
0.1,1.0,0.5,8,-107.92805166600077,9.606138730618515,0.419100634215156,0.1483787053841944
0.1,1.0,0.5,16,-107.92805166600077,9.606138730618515,0.419100634215156,0.1483787053841944
0.1,1.0,0.5,32,-107.92805166600077,9.606138730618515,0.419100634215156,0.1483787053841944
0.1,5.0,0.05,4,-96.54993417827377,12.06085030430412,0.6031958221852014,0.3324738933542398
0.1,5.0,0.05,8,-103.71781328102432,10.450053655743128,0.5306430791117596,0.259921150280798
0.1,5.0,0.05,16,-103.71781328102432,10.450053655743128,0.5306430791117596,0.259921150280798
0.1,5.0,0.05,32,-103.71781328102432,10.450053655743128,0.5306430791117596,0.259921150280798
0.1,5.0,0.1,4,-92.82830155865595,12.99282584906483,0.624635191470154,0.3539132626391924
0.1,5.0,0.1,8,-98.20666312633304,11.667767389162396,0.6038462586084302,0.33312432977746864
0.1,5.0,0.1,16,-98.20666312633304,11.667767389162396,0.6038462586084302,0.33312432977746864
0.1,5.0,0.1,32,-98.20666312633304,11.667767389162396,0.6038462586084302,0.33312432977746864
0.1,5.0,0.2,4,-85.61364619017927,15.00960687963328,0.6717729533994582,0.4010510245684966
0.1,5.0,0.2,8,-83.59541883908167,15.627856607002037,0.7475220599601134,0.47680013112915187
0.1,5.0,0.2,16,-83.59541883908167,15.627856607002037,0.7475220599601134,0.47680013112915187
0.1,5.0,0.2,32,-83.59541883908167,15.627856607002037,0.7475220599601134,0.47680013112915187
