bnum,gene_name_keio,COG_id,keio_call,PEC,MG_Tn5,y_ess_in_silico,b_wt,b_ko,delta_b,kV,log10_kV,keio_E,kV_db_original,log10_kV_db_original,kV_db_linear,log10_kV_db_linear,kV_db_quadratic,log10_kV_db_quadratic,kV_db_indicator,log10_kV_db_indicator,model
b3431,glgX,COG1523,N,,,0,15.44424150377654,15.444241503776473,6.927791673660978e-14,1738372.3174691726,6.240142797489811,0,1738372.3174691726,6.240142797489811,1738372.3174691803,6.2401427974898125,1738372.3174691726,6.240142797489811,0.0,-12.0,iJO1366
b3430,glgC,COG0448,N,,,0,15.44424150377654,15.444241503776544,-3.552713678800501e-15,1738372.317469173,6.240142797489811,0,1738372.317469173,6.240142797489811,1738372.3174691726,6.240142797489811,1738372.317469173,6.240142797489811,0.0,-12.0,iJO1366
b3870,glnA,COG0174,N,,,1,15.44424150377654,-2.915633896309231e-13,15.444241503776832,2367702.2572998023,6.37432708819373,0,2367702.2572998023,6.37432708819373,4735404.514599648,6.675357083857715,4735404.514599694,6.675357083857719,2367702.2572998023,6.37432708819373,iJO1366
b0680,glnS,COG0008,E,E,u,0,15.44424150377654,15.444241503776423,1.1546319456101628e-13,1733542.103211382,6.238934393999523,1,1733542.103211382,6.238934393999523,1733542.103211395,6.238934393999527,1733542.103211382,6.238934393999523,0.0,-12.0,iJO1366
b0809,glnQ,COG1126,N,,,0,15.44424150377654,15.44424150377658,-4.085620730620576e-14,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113808,6.238934393999523,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b0810,glnP,COG0765,N,,,0,15.44424150377654,15.44424150377658,-4.085620730620576e-14,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113808,6.238934393999523,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b0811,glnH,COG0834,N,,,0,15.44424150377654,15.44424150377658,-4.085620730620576e-14,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113808,6.238934393999523,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b2091,gatD,COG1063,N,,,0,15.44424150377654,15.44424150377658,-4.085620730620576e-14,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113808,6.238934393999523,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b0242,proB,COG0263,N,,,0,15.44424150377654,15.400428103526009,0.0438134002505314,1734052.584487409,6.239062263155444,0,1734052.584487409,6.239062263155444,1738971.8768929986,6.240292558535809,1734066.5399106692,6.239065758285281,0.0,-12.0,iJO1366
b1492,gadC,COG0531,N,,,0,15.44424150377654,15.444241503776585,-4.440892098500626e-14,1733542.1032113852,6.238934393999524,0,1733542.1032113852,6.238934393999524,1733542.1032113803,6.238934393999523,1733542.1032113852,6.238934393999524,0.0,-12.0,iJO1366
b2688,gshA,COG2918,N,,,0,15.44424150377654,15.44424150377658,-4.085620730620576e-14,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113808,6.238934393999523,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b1493,gadB,COG0076,N,,,0,15.44424150377654,15.44424150377658,-4.085620730620576e-14,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113808,6.238934393999523,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b3517,gadA,COG0076,N,,,0,15.44424150377654,15.44424150377658,-4.085620730620576e-14,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113808,6.238934393999523,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b1761,gdhA,COG0334,N,,,0,15.44424150377654,12.985516629870844,2.4587248739056964,2445224.797655943,6.388318791432536,0,2445224.797655943,6.388318791432536,2834504.8429606967,6.452477203351794,2507198.2218653406,6.3991886711178365,2445224.797655943,6.3883187914325354,iJO1366
b1524,yneH,COG2066,N,,,0,15.44424150377654,15.444241503776595,-5.684341886080804e-14,1733542.1032113864,6.238934393999525,0,1733542.1032113864,6.238934393999525,1733542.10321138,6.238934393999523,1733542.1032113864,6.238934393999525,0.0,-12.0,iJO1366
b0485,ybaS,COG2066,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b2312,purF,COG0034,N,,,1,15.44424150377654,9.463503147160454e-12,15.444241503767078,3019451.814658189,6.479928103394565,0,3019451.814658189,6.479928103394565,6038903.629314528,6.780958099058413,6038903.629312678,6.78095809905828,3019451.814658189,6.479928103394565,iJO1366
b3967,murI,COG0796,E,E,u,1,15.44424150377654,5.163134435800918e-15,15.444241503776537,3019451.8146595564,6.479928103394761,1,3019451.8146595564,6.479928103394761,6038903.629319112,6.780958099058743,6038903.629319112,6.780958099058743,3019451.8146595564,6.479928103394761,iJO1366
b3213,gltD,COG0493,N,,,0,15.44424150377654,15.444241503776672,-1.3145040611561853e-13,1733542.1032113866,6.238934393999525,0,1733542.1032113866,6.238934393999525,1733542.1032113717,6.238934393999521,1733542.1032113866,6.238934393999525,0.0,-12.0,iJO1366
b3212,gltB,COG0067,N,,,0,15.44424150377654,15.444241503776643,-1.0302869668521453e-13,1733542.1032113854,6.238934393999524,0,1733542.1032113854,6.238934393999524,1733542.1032113738,6.238934393999521,1733542.1032113854,6.238934393999524,0.0,-12.0,iJO1366
b1210,hemA,COG0373,E,N,u,1,15.44424150377654,1.759015454862538e-14,15.444241503776524,3019451.8146597296,6.479928103394786,1,3019451.8146597296,6.479928103394786,6038903.629319456,6.7809580990587675,6038903.629319454,6.7809580990587675,3019451.8146597296,6.479928103394786,iJO1366
b2400,gltX,COG0008,E,E,u,1,15.44424150377654,0.0,15.44424150377654,3019451.814659546,6.47992810339476,1,3019451.814659546,6.47992810339476,6038903.629319092,6.780958099058742,6038903.629319092,6.780958099058742,3019451.814659546,6.47992810339476,iJO1366
