bnum,gene_name,COG_id,keio_call,PEC,MG_Tn5,y_essential_in_silico_iJO1366,b_wt,b_ko,delta_b,kV,log10_kV
b0727,sucB,COG0508,N,,,0,15.44424150377654,15.444241503776285,2.575717417130363e-13,1385658.695324588,6.141656271408032
b0116,lpd,COG1249,N,,,0,15.44424150377654,13.230160950326022,2.2140805534505184,2664718.2910842854,6.425651303008223
b0726,sucA,COG0567,N,,,0,15.44424150377654,15.444241503776649,-1.0658141036401505e-13,1385580.3934253803,6.141631729257991
b2587,kgtP,COG0477,N,,,0,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,1385580.393425377,6.14163172925799
b1488,ddpX,COG2173,N,,,0,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,1385580.393425377,6.14163172925799
b3542,dppC,COG1173,N,,,0,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,1385580.393425377,6.14163172925799
b1486,ddpB,COG0601,N,,,0,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,1385580.393425377,6.14163172925799
b1485,ddpC,COG1173,N,,,0,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,1385580.393425377,6.14163172925799
b3543,dppB,COG0601,N,,,0,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,1385580.393425377,6.14163172925799
b3541,dppD,COG0444,N,,,0,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,1385580.393425377,6.14163172925799
b1484,ddpD,COG0444,N,,,0,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,1385580.393425377,6.14163172925799
b3540,dppF,COG4608,N,,,0,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,1385580.393425377,6.14163172925799
b3544,dppA,COG0747,N,,,0,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,1385580.393425377,6.14163172925799
b1483,ddpF,COG1124,N,,,0,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,1385580.393425377,6.14163172925799
b1487,ddpA,COG0747,N,,,0,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,1385580.393425377,6.14163172925799
b0092,ddlB,COG1181,N,,,1,15.44424150377654,0.0,15.44424150377654,2729497.731396076,6.436082737681153
b0381,ddlA,COG1181,N,,,1,15.44424150377654,0.0,15.44424150377654,2729497.731396225,6.436082737681177
b1190,dadX,COG0787,N,,,1,15.44424150377654,1.7590154548625384e-14,15.444241503776524,2729497.731396277,6.436082737681186
b4053,alr,COG0787,N,,,1,15.44424150377654,0.0,15.44424150377654,2729497.73139617,6.4360827376811685
b2551,glyA,COG0112,N,,,0,15.44424150377654,15.344252829213245,0.0999886745632956,1435471.902714657,6.156994696229666
b0870,ltaE,COG2008,N,,,0,15.44424150377654,15.444241503776777,-2.3447910280083306e-13,1385580.3934253857,6.141631729257993
b2379,yfdZ,COG0436,N,,,0,15.44424150377654,15.444241503776334,2.0605739337042905e-13,1385580.39342537,6.1416317292579885
b2290,yfbQ,COG0436,N,,,0,15.44424150377654,15.444241503776334,2.0605739337042905e-13,1385580.39342537,6.1416317292579885
b2697,alaS,COG0013,N,,,0,15.44424150377654,15.444241503776334,2.0605739337042905e-13,1385580.39342537,6.1416317292579885
b3456,livM,COG4177,N,,,0,15.44424150377654,15.444241503776334,2.0605739337042905e-13,1385580.39342537,6.1416317292579885
b3457,livH,COG0559,N,,,0,15.44424150377654,15.444241503776334,2.0605739337042905e-13,1385580.39342537,6.1416317292579885
b3455,livG,COG0411,N,,,0,15.44424150377654,15.444241503776334,2.0605739337042905e-13,1385580.39342537,6.1416317292579885
b4208,cycA,COG1113,N,,,0,15.44424150377654,15.444053212159396,0.0001882916171442,1385597.9874010652,6.141637243855397
b0007,yaaJ,COG1115,N,,,0,15.44424150377654,15.44424150377651,3.0198066269804264e-14,1385580.4192738312,6.141631737359896
b0356,frmA,COG1062,N,,,0,15.44424150377654,13.036694232479867,2.4075472712966715,12848381.218172574,7.108848413869583
b1300,puuC,COG1012,N,,,0,15.44424150377654,15.444241503776649,-1.0658141036401505e-13,1385580.4192738372,6.141631737359898
b4084,alsK,COG1940,E,N,u,0,15.44424150377654,15.444241503776649,-1.0658141036401505e-13,1385580.4192738372,6.141631737359898
b4090,rpiB,COG0698,N,,,0,15.44424150377654,10.822168362042053,4.622073141734488,2069850.7857912227,6.3159390385761265
b0516,allC,COG0624,N,,,0,15.44424150377654,15.44424150377649,4.973799150320701e-14,1385580.4192738326,6.141631737359896
b0512,allB,COG0044,N,,,0,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,1385580.4192738335,6.141631737359896
b4085,alsE,COG0036,N,,,0,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,1385580.4192738335,6.141631737359896
b4087,alsA,COG1129,N,,,0,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,1385580.4192738335,6.141631737359896
b4086,alsC,COG1172,N,,,0,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,1385580.4192738335,6.141631737359896
b4088,alsB,COG1879,N,,,0,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,1385580.4192738335,6.141631737359896
b0657,lnt,COG0815,E,E,u,0,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,1385580.4192738335,6.141631737359896
b1677,lpp,COG4238,N,,,0,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,1385580.4192738335,6.141631737359896
b1781,yeaE,COG0656,N,,,0,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,1385580.4192738335,6.141631737359896
b3001,yghZ,COG0667,N,,,0,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,1385580.4192738335,6.141631737359896
b0207,dkgB,COG0656,N,,,0,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,1385580.4192738335,6.141631737359896
b3091,uxaA,COG2721,N,,,0,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,1385580.4192738335,6.141631737359896
b3416,malQ,COG1640,N,,,0,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,1385580.4192738335,6.141631737359896
b3223,nanE,COG3010,N,,,0,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,1385580.4192738335,6.141631737359896
b0774,bioA,COG0161,N,,,1,15.44424150377654,0.0,15.44424150377654,2729497.7313961494,6.436082737681166
b3994,thiC,COG0422,N,,,1,15.44424150377654,-7.107130256634958e-15,15.444241503776547,2729497.7313962304,6.436082737681178
b1982,amn,COG0775,N,,,0,15.44424150377654,15.444241503776384,1.5631940186722204e-13,1385580.4192263817,6.1416317373450235
