tau,beta,D,L,structure,mdl,sse,nll,bic_penalty,scale,kappa_V_uncalibrated,kappa_V_calibrated,abs_err_calibrated,abs_err_uncalibrated
0.02,1.0,0.2,32,kmeans,-473.8783111588484,71.47716220749402,-486.3075273556928,12.429216196844383,0.2429360337367358,0.32123077148711227,0.07803852953927078,0.2426568795187466,0.0005353624290949099
0.02,1.0,0.5,4,uniform,-536.4715065835329,55.64572232499391,-548.9007227803774,12.429216196844383,0.4431358752288126,0.2780508172638943,0.12321429226632244,0.19748111679169492,0.042644591794123055
0.02,1.0,0.5,4,kmeans,-544.091247694122,53.97528425728965,-556.5204638909664,12.429216196844383,0.5535396560509311,0.2544220927909398,0.1408327177352549,0.17986269132276245,0.06627331626707755
0.02,1.0,0.5,8,uniform,-518.9459914063225,59.686583789593854,-531.3752076031669,12.429216196844383,0.3580211289705784,0.30107773988498715,0.10779219234153324,0.2129032167164841,0.019617669173030206
0.02,1.0,0.5,8,kmeans,-524.2229137874893,58.439941068771496,-536.6521299843338,12.429216196844383,0.43903245967336013,0.28568341148681714,0.125424290832934,0.19527111822508336,0.035011997571200215
0.02,1.0,0.5,16,uniform,-518.9459914063225,59.686583789593854,-531.3752076031669,12.429216196844383,0.3580211289705784,0.30107773988498715,0.10779219234153324,0.2129032167164841,0.019617669173030206
0.02,1.0,0.5,16,kmeans,-524.2229137874893,58.439941068771496,-536.6521299843338,12.429216196844383,0.43903245967336013,0.28568341148681714,0.125424290832934,0.19527111822508336,0.035011997571200215
0.02,1.0,0.5,32,uniform,-518.9459914063225,59.686583789593854,-531.3752076031669,12.429216196844383,0.3580211289705784,0.30107773988498715,0.10779219234153324,0.2129032167164841,0.019617669173030206
0.02,1.0,0.5,32,kmeans,-524.2229137874893,58.439941068771496,-536.6521299843338,12.429216196844383,0.43903245967336013,0.28568341148681714,0.125424290832934,0.19527111822508336,0.035011997571200215
0.02,5.0,0.02,4,uniform,-420.16081290761207,88.61028921815218,-432.59002910445645,12.429216196844383,-0.13445963939952102,0.0932119054255131,-0.012533239191256748,0.3332286482492741,0.22748350363250425
0.02,5.0,0.02,4,kmeans,-420.1622962110205,88.60976347593576,-432.59151240786485,12.429216196844383,-0.13250938843559745,0.17091558060338669,-0.02264791905986983,0.3433433281178872,0.14977982845463067
0.02,5.0,0.02,8,uniform,-458.66352737889014,75.96229692601307,-471.0927435757345,12.429216196844383,-0.1479016238757034,0.4776670170543391,-0.07064772749420006,0.3913431365522174,0.15697160799632176
0.02,5.0,0.02,8,kmeans,-459.47436749919905,75.71632292090612,-471.9035836960434,12.429216196844383,-0.13294799258698942,0.632937756731257,-0.08414780418993287,0.40484321324795025,0.3122423476732396
0.02,5.0,0.02,16,uniform,-458.66352737889014,75.96229692601307,-471.0927435757345,12.429216196844383,-0.1479016238757034,0.4776670170543391,-0.07064772749420006,0.3913431365522174,0.15697160799632176
0.02,5.0,0.02,16,kmeans,-459.47436749919905,75.71632292090612,-471.9035836960434,12.429216196844383,-0.13294799258698942,0.632937756731257,-0.08414780418993287,0.40484321324795025,0.3122423476732396
0.02,5.0,0.02,32,uniform,-458.66352737889014,75.96229692601307,-471.0927435757345,12.429216196844383,-0.1479016238757034,0.4776670170543391,-0.07064772749420006,0.3913431365522174,0.15697160799632176
0.02,5.0,0.02,32,kmeans,-459.47436749919905,75.71632292090612,-471.9035836960434,12.429216196844383,-0.13294799258698942,0.632937756731257,-0.08414780418993287,0.40484321324795025,0.3122423476732396
0.02,5.0,0.05,4,uniform,-420.96171702880207,88.32687006043277,-433.39093322564645,12.429216196844383,-0.13647348201527854,0.11992888890150197,-0.016367113062611467,0.3370625221206288,0.2007665201565154
0.02,5.0,0.05,4,kmeans,-420.96717834312494,88.32494055830585,-433.3963945399693,12.429216196844383,-0.13420488206572745,0.2027100400433654,-0.027204677017558743,0.3479000860755761,0.11798536901465195
0.02,5.0,0.05,8,uniform,-457.76947720097706,76.23443967484556,-470.19869339782144,12.429216196844383,-0.14456172834187753,0.5284895460201294,-0.07639936218328414,0.3970947712413015,0.20779413696211207
0.02,5.0,0.05,8,kmeans,-458.6455449076874,75.96776108179665,-471.0747611045318,12.429216196844383,-0.12949440217656152,0.681112940433701,-0.08820031303618206,0.40889572209419944,0.3604175313756836
0.02,5.0,0.05,16,uniform,-457.76947720097706,76.23443967484556,-470.19869339782144,12.429216196844383,-0.14456172834187753,0.5284895460201294,-0.07639936218328414,0.3970947712413015,0.20779413696211207
0.02,5.0,0.05,16,kmeans,-458.6455449076874,75.96776108179665,-471.0747611045318,12.429216196844383,-0.12949440217656152,0.681112940433701,-0.08820031303618206,0.40889572209419944,0.3604175313756836
0.02,5.0,0.05,32,uniform,-457.76947720097706,76.23443967484556,-470.19869339782144,12.429216196844383,-0.14456172834187753,0.5284895460201294,-0.07639936218328414,0.3970947712413015,0.20779413696211207
