tau,beta,D,L,structure,mdl,sse,nll,bic_penalty,scale,kappa_V_uncalibrated,kappa_V_calibrated,abs_err_calibrated,abs_err_uncalibrated
0.02,5.0,0.05,32,kmeans,-458.6455449076874,75.96776108179665,-471.0747611045318,12.429216196844383,-0.12949440217656152,0.681112940433701,-0.08820031303618206,0.40889572209419944,0.3604175313756836
0.02,5.0,0.1,4,uniform,-422.246593455536,87.87407816762696,-434.6758096523804,12.429216196844383,-0.14248603107887015,0.1739928941773438,-0.02479155692725557,0.34548696598527295,0.14670251488067357
0.02,5.0,0.1,4,kmeans,-422.29846596696575,87.85584706258216,-434.72768216381013,12.429216196844383,-0.13601583547068807,0.25832505376950227,-0.03513629801146927,0.35583170706948664,0.06237035528851509
0.02,5.0,0.1,8,uniform,-445.0470168021224,80.21440934841144,-457.4762329989668,12.429216196844383,-0.13852531950152322,0.613927853582449,-0.0850445520683931,0.4057399611264105,0.2932324445244316
0.02,5.0,0.1,8,kmeans,-446.87157020126256,79.63111853496126,-459.30078639810694,12.429216196844383,-0.11589841507956132,0.6399914363432108,-0.07417399313667009,0.39486940219468747,0.3192960272851934
0.02,5.0,0.1,16,uniform,-445.0470168021224,80.21440934841144,-457.4762329989668,12.429216196844383,-0.13852531950152322,0.613927853582449,-0.0850445520683931,0.4057399611264105,0.2932324445244316
0.02,5.0,0.1,16,kmeans,-446.87157020126256,79.63111853496126,-459.30078639810694,12.429216196844383,-0.11589841507956132,0.6399914363432108,-0.07417399313667009,0.39486940219468747,0.3192960272851934
0.02,5.0,0.1,32,uniform,-445.0470168021224,80.21440934841144,-457.4762329989668,12.429216196844383,-0.13852531950152322,0.613927853582449,-0.0850445520683931,0.4057399611264105,0.2932324445244316
0.02,5.0,0.1,32,kmeans,-446.87157020126256,79.63111853496126,-459.30078639810694,12.429216196844383,-0.11589841507956132,0.6399914363432108,-0.07417399313667009,0.39486940219468747,0.3192960272851934
0.02,5.0,0.2,4,uniform,-397.93037562652756,96.8506141539987,-410.35959182337194,12.429216196844383,-0.1440772040354704,0.2701723710900146,-0.03892567983428285,0.3596210888923002,0.05052303796800278
