dimension,profile,starting_set,lambda,n_iter,final_distance,fitted_q,r2,valid_fit,verdict
3,"k=3 expansions (f2,f4,f6)",corners 8,0.0,40,0.000000e+00,0.476520,0.765984,True,STRONG-CONVERGED (machine precision; q<1)
3,"k=3 expansions (f2,f4,f6)",corners 8,0.3,40,4.385381e-15,0.443767,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
3,"k=3 expansions (f2,f4,f6)",corners 8,0.5,40,4.906006e-10,0.601770,0.999987,True,"CONFIRMED (q=0.6018, R^2=1.0000)"
3,"k=3 expansions (f2,f4,f6)",corners 8,0.7,40,2.772498e-06,0.757370,0.999859,True,"CONFIRMED (q=0.7574, R^2=0.9999)"
3,"k=3 expansions (f2,f4,f6)",corners 8,0.9,40,1.701152e-03,0.913290,0.999840,True,"CONFIRMED (q=0.9133, R^2=0.9998)"
3,k=7 expansion  (all optics),grid 27,0.0,40,0.000000e+00,0.835097,0.236570,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 expansion  (all optics),grid 27,0.3,40,1.418394e-22,0.291191,0.992009,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 expansion  (all optics),grid 27,0.5,40,5.159483e-13,0.513240,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 expansion  (all optics),grid 27,0.7,40,8.979169e-08,0.707744,1.000000,True,"CONFIRMED (q=0.7077, R^2=1.0000)"
3,k=7 expansion  (all optics),grid 27,0.9,40,4.017861e-04,0.880638,0.829280,True,"WEAK (q=0.8806, R^2=0.8293)"
3,k=7 expansion  (all optics),random 27,0.0,40,0.000000e+00,0.834671,0.237014,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 expansion  (all optics),random 27,0.3,40,9.755296e-23,0.279939,0.994191,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 expansion  (all optics),random 27,0.5,40,5.272239e-13,0.510225,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 expansion  (all optics),random 27,0.7,40,1.081324e-07,0.693981,0.982326,True,"CONFIRMED (q=0.6940, R^2=0.9823)"
3,k=7 expansion  (all optics),random 27,0.9,40,5.268902e-04,0.878563,0.673096,True,"WEAK (q=0.8786, R^2=0.6731)"
3,k=7 expansion  (all optics),corners 8,0.0,40,0.000000e+00,0.835097,0.236570,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 expansion  (all optics),corners 8,0.3,40,1.418394e-22,0.281852,0.992200,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 expansion  (all optics),corners 8,0.5,40,8.841990e-13,0.511881,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 expansion  (all optics),corners 8,0.7,40,1.633639e-07,0.706980,1.000000,True,"CONFIRMED (q=0.7070, R^2=1.0000)"
3,k=7 expansion  (all optics),corners 8,0.9,40,7.546609e-04,0.902276,1.000000,True,"CONFIRMED (q=0.9023, R^2=1.0000)"
4,canonical (k=0),grid 27,0.0,40,0.000000e+00,0.834998,0.236584,True,STRONG-CONVERGED (machine precision; q<1)
4,canonical (k=0),grid 27,0.3,40,0.000000e+00,0.396020,0.937364,True,STRONG-CONVERGED (machine precision; q<1)
4,canonical (k=0),grid 27,0.5,40,1.255187e-12,0.509753,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
4,canonical (k=0),grid 27,0.7,40,2.506800e-07,0.705659,1.000000,True,"CONFIRMED (q=0.7057, R^2=1.0000)"
4,canonical (k=0),grid 27,0.9,40,1.213916e-03,0.901845,1.000000,True,"CONFIRMED (q=0.9018, R^2=1.0000)"
4,canonical (k=0),random 27,0.0,40,0.000000e+00,0.834833,0.237008,True,STRONG-CONVERGED (machine precision; q<1)
4,canonical (k=0),random 27,0.3,40,0.000000e+00,0.419674,0.912921,True,STRONG-CONVERGED (machine precision; q<1)
4,canonical (k=0),random 27,0.5,40,2.719043e-13,0.510140,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
4,canonical (k=0),random 27,0.7,40,5.500634e-08,0.706085,1.000000,True,"CONFIRMED (q=0.7061, R^2=1.0000)"
4,canonical (k=0),random 27,0.9,40,2.653357e-04,0.902067,1.000000,True,"CONFIRMED (q=0.9021, R^2=1.0000)"
4,canonical (k=0),corners 16,0.0,40,0.000000e+00,0.834998,0.236584,True,STRONG-CONVERGED (machine precision; q<1)
4,canonical (k=0),corners 16,0.3,40,0.000000e+00,0.396020,0.937364,True,STRONG-CONVERGED (machine precision; q<1)
4,canonical (k=0),corners 16,0.5,40,1.255187e-12,0.509753,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
4,canonical (k=0),corners 16,0.7,40,2.506800e-07,0.705659,1.000000,True,"CONFIRMED (q=0.7057, R^2=1.0000)"
4,canonical (k=0),corners 16,0.9,40,1.213916e-03,0.901845,1.000000,True,"CONFIRMED (q=0.9018, R^2=1.0000)"
4,k=1 expansion  (f2),grid 27,0.0,40,0.000000e+00,0.745658,0.358287,True,STRONG-CONVERGED (machine precision; q<1)
4,k=1 expansion  (f2),grid 27,0.3,40,0.000000e+00,0.395801,0.953142,True,STRONG-CONVERGED (machine precision; q<1)
4,k=1 expansion  (f2),grid 27,0.5,40,2.318132e-12,0.518954,0.999985,True,STRONG-CONVERGED (machine precision; q<1)
4,k=1 expansion  (f2),grid 27,0.7,40,2.985808e-07,0.709370,0.999998,True,"CONFIRMED (q=0.7094, R^2=1.0000)"
4,k=1 expansion  (f2),grid 27,0.9,40,1.242647e-03,0.902796,1.000000,True,"CONFIRMED (q=0.9028, R^2=1.0000)"
4,k=1 expansion  (f2),random 27,0.0,40,0.000000e+00,0.742630,0.361018,True,STRONG-CONVERGED (machine precision; q<1)
4,k=1 expansion  (f2),random 27,0.3,40,0.000000e+00,0.418645,0.936649,True,STRONG-CONVERGED (machine precision; q<1)
4,k=1 expansion  (f2),random 27,0.5,40,7.275654e-13,0.526233,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
4,k=1 expansion  (f2),random 27,0.7,40,7.959173e-08,0.715363,1.000000,True,"CONFIRMED (q=0.7154, R^2=1.0000)"
4,k=1 expansion  (f2),random 27,0.9,40,2.737747e-04,0.905102,1.000000,True,"CONFIRMED (q=0.9051, R^2=1.0000)"
4,k=1 expansion  (f2),corners 16,0.0,40,0.000000e+00,0.745658,0.358287,True,STRONG-CONVERGED (machine precision; q<1)
4,k=1 expansion  (f2),corners 16,0.3,40,0.000000e+00,0.395801,0.953142,True,STRONG-CONVERGED (machine precision; q<1)
4,k=1 expansion  (f2),corners 16,0.5,40,2.318132e-12,0.518954,0.999985,True,STRONG-CONVERGED (machine precision; q<1)
4,k=1 expansion  (f2),corners 16,0.7,40,2.985808e-07,0.709370,0.999998,True,"CONFIRMED (q=0.7094, R^2=1.0000)"
4,k=1 expansion  (f2),corners 16,0.9,40,1.242647e-03,0.902796,1.000000,True,"CONFIRMED (q=0.9028, R^2=1.0000)"
4,"k=3 expansions (f2,f4,f6)",grid 27,0.0,40,0.000000e+00,0.476520,0.765984,True,STRONG-CONVERGED (machine precision; q<1)
4,"k=3 expansions (f2,f4,f6)",grid 27,0.3,40,4.385381e-15,0.443706,0.999999,True,STRONG-CONVERGED (machine precision; q<1)
4,"k=3 expansions (f2,f4,f6)",grid 27,0.5,40,4.906009e-10,0.601034,0.999962,True,"CONFIRMED (q=0.6010, R^2=1.0000)"
4,"k=3 expansions (f2,f4,f6)",grid 27,0.7,40,2.776005e-06,0.754534,0.999672,True,"CONFIRMED (q=0.7545, R^2=0.9997)"
