bnum,gene_name_keio,COG_id,keio_call,PEC,MG_Tn5,y_essential_in_silico_iML1515,b_wt,b_ko,delta_b,kV,log10_kV
b0099,mutT,COG0494,N,,,1,0.9259332133632957,-1.1700505196599012e-12,0.9259332133644658,11215.771854129871,4.049829166501667
b2781,mazG,COG1694,N,,,0,0.9259332133632957,0.9259332133632577,3.7969627442180354e-14,7696.228552344306,3.8862779563203116
b0160,dgt,COG0232,N,,,0,0.9259332133632957,0.9259332133632513,4.440892098500626e-14,7696.228552344187,3.886277956320305
b1800,yeaU,COG0473,N,,,1,0.9259332133632957,4.873486925309949e-16,0.9259332133632953,10189.137636608953,4.008137428804217
b0523,purE,COG0041,N,,,1,0.9259332133632957,1.462311526451747e-13,0.9259332133631495,9845.993665542905,3.993259552031837
b1131,purB,COG0015,E,N,u,1,0.9259332133632957,-1.78472642808294e-15,0.9259332133632975,9845.993665543669,3.9932595520318706
b2407,xapA,COG0005,N,,,0,0.9259332133632957,0.9259332133633096,-1.3877787807814457e-14,7683.1579703484,3.8855397626356156
b2234,nrdA,COG0209,E,E,u,0,0.9259332133632957,0.9259332133632513,4.440892098500626e-14,7683.157970348717,3.8855397626356334
b2235,nrdB,COG0208,E,E,u,0,0.9259332133632957,0.9259332133632513,4.440892098500626e-14,7683.157970348717,3.8855397626356334
b3781,trxA,COG0526,N,,,0,0.9259332133632957,0.9259332133632513,4.440892098500626e-14,7683.420523093975,3.8855546033119146
b2582,trxC,COG0526,N,,,0,0.9259332133632957,0.9259332133632651,3.064215547965432e-14,7683.4205230942625,3.885554603311931
b2827,thyA,COG0207,N,,,1,0.9259332133632957,-4.438899113764189e-16,0.9259332133632961,10882.746788361148,4.0367385244495315
b1238,tdk,COG1435,N,,,0,0.9259332133632957,0.9259332133632361,5.96189764223709e-14,7683.157970348251,3.885539762635607
b1232,purU,COG0788,N,,,0,0.9259332133632957,0.9259332133632923,3.4416913763379853e-15,6305.133302332449,3.799694272805282
b1851,edd,COG0129,N,,,0,0.9259332133632957,0.9259332133632793,1.6431300764452317e-14,6305.13330233234,3.7996942728052745
b1693,aroD,COG0710,N,,,1,0.9259332133632957,2.6120530617737614e-15,0.925933213363293,9868.908514746243,3.99426912306122
b4146,yjeK,COG1509,N,,,0,0.9259332133632957,0.925933213363352,-5.6288307348495437e-14,7681.548963406254,3.8854488031605166
b1109,ndh,COG1252,N,,,0,0.9259332133632957,0.9259332133632782,1.7541523789077473e-14,7681.54896340464,3.8854488031604255
b1004,wrbA,COG0655,N,,,0,0.9259332133632957,0.9259332133632782,1.7541523789077473e-14,7681.54896340464,3.8854488031604255
b0046,kefF,COG2249,N,,,0,0.9259332133632957,0.9259332133632782,1.7541523789077473e-14,7681.54896340464,3.8854488031604255
