uniprot,gene_name,medianRatio_50 mM NaCl_vs_glucose,medianRatio_pH 6_vs_glucose,medianRatio_42°C_vs_glucose,medianRatio_anaerobic_vs_glucose,medianRatio_stationary 1 day_vs_glucose,medianRatio_stationary 3 days_vs_glucose,medianRatio_chemostat µ=0.12_vs_glucose,medianRatio_chemostat µ=0.5_vs_glucose,medianRatio_galactose_vs_glucose,medianRatio_acetate_vs_glucose,medianRatio_glycerol_vs_glucose,medianRatio_LB_vs_glucose,medianRatio_glucosamine_vs_glucose,medianRatio_fumarate_vs_glucose,medianRatio_succinate_vs_glucose,medianRatio_pyruvate_vs_glucose,medianRatio_chemostat µ=0.20_vs_glucose,medianRatio_chemostat µ=0.35_vs_glucose
P37052,ychJ,1.127670374,1.062969306,0.934748937,0.946804048,0.283328904,0.106259877,0.183836286,0.406193499,0.361528064,0.131737308,0.429060425,0.828911727,0.724654143,0.656869183,0.554956545,0.159453402,0.369351069,0.252037061
P0AAT2,ybdF,0.338828006,0.351122307,0.339094573,0.650396914,1.012267728,0.913924812,0.783547223,0.313570966,0.290977507,0.448051935,0.263803145,0.177144822,0.176080739,0.193818372,0.148028094,0.067101034,0.01033767,0.039276247
P0A8E5,yacL,0.542844862,0.760605877,0.864713864,1.226723603,4.645156422,6.055451146,0.912982034,0.908735775,1.014472179,0.999842172,0.673149741,0.915584337,1.242225791,0.833800385,0.773862311,0.820935368,0.989899897,0.92465738
P33368,yohF,0.98631304,0.641086824,1.309710704,0.340052217,1.838195569,0.089812621,0.582269122,0.193740075,0.799910491,0.531611171,0.837626282,0.781569398,0.632025479,0.546939477,0.255773959,0.410931136,0.735887321,0.980418315
P37613,yhhK,1.340687099,1.173850344,1.300860391,0.626040774,0.557411019,0.436860024,0.567771659,0.756863987,0.99082502,0.957770149,1.10322596,3.831306075,0.455030412,1.029072641,0.970457267,0.645764747,0.909137322,0.750948436
P0A908,mipA,1.472229017,1.234730011,1.272828307,0.880279326,1.947221418,1.881964735,0.948919469,2.400397566,1.420161945,2.301571579,1.301775901,0.501417639,1.243000049,0.824160706,1.644192703,1.419528175,0.667808011,1.17593324
P64476,ydiH,1.59632183,3.345758919,0.851145266,1.646735098,0.510962182,0.188280722,0.73093119,0.969053578,1.262705989,2.000428977,0.529775061,0.047775676,1.044060425,0.767899533,0.385753002,1.858354409,1.251359381,1.401690471
P0AF18,nagA,0.522950163,0.390434471,0.582117422,0.15326519,0.141839316,0.685166238,0.277121424,0.76104219,4.495694098,0.555237854,0.688033602,1.193175117,0.728211667,0.680979986,1.008332709,0.522031456,0.423202241,0.438012011
P0A8U0,syd,0.85635494,1.057208703,0.949287328,1.030470966,0.130441466,0.295128149,0.504100118,0.612324998,0.580473448,0.595521829,0.690240484,0.810017342,0.787124807,0.794813981,0.699277536,0.457475741,0.459731306,0.332062038
P46859,gntK,0.569263356,0.806648973,0.729602505,0.465183055,0.032140545,0.030505288,0.416578533,0.728906966,0.854455996,0.019132538,1.344159957,1.603535198,12.41165872,0.664182569,0.966587037,0.291465855,0.285247564,0.283224145
P27250,yjgB,1.454880917,1.477806881,1.068474712,0.544592109,0.51901264,0.827152888,1.496591106,0.400440064,1.715845231,1.036465357,1.041162385,0.568362651,0.816549147,0.650315279,0.609828028,0.537217264,0.94801141,0.528732699
P75792,supH,0.954868584,1.129332248,0.833786401,1.178572882,0.250953226,0.512143388,0.2589997,0.791118947,0.574765586,0.492276369,0.621204913,0.549740031,0.454938913,0.3392154,0.507217361,0.567324456,0.285498368,0.302125986
P0A998,ftnA,0.99272956,0.873826592,1.031864238,1.157286833,0.387565835,0.338139584,0.634706728,1.118088906,0.83109817,1.265409646,1.535414804,2.110203464,1.361653656,1.265871505,1.074611232,1.707427608,1.767247137,2.596828854
P0A8L7,yciU,1.844892784,1.453224741,1.157469454,2.642584752,0.003763306,0.483105096,1.088126342,1.643736594,1.116586208,1.315510173,1.007717738,1.026239814,1.352781591,1.057744862,0.920783386,1.009104871,1.188196866,1.829672122
P76227,ynjH,1.448607654,1.273964092,0.880035554,0.550418541,13.48424499,10.46108815,1.625943482,0.950507067,0.321957468,0.503336244,0.908231294,2.107521368,0.6840563,0.693386274,0.718260779,0.54478881,1.045795119,1.988726187
