#id: 3740039012
#name: E.coli str. K-12 substr. MG1655 - Whole organism (Integrated)
#score: 23.3
#coverage: 91
#description: integrated dataset: weighted average of all E.coli str. K-12 substr. MG1655 WHOLE_ORGANISM: 23.3; Coverage: 91
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Escherichia_coli_SC_biomart_29780_E_BTO0000214cellculture_2reps:0.227;Ecoli_iBAQ_arike_2012:0.136;Escherichia_coli_SC_biomart_17112_E__2reps:0.079;Escherichia_coli_SC_biomart_18119_E__5reps:0.056;PXD014877_Mueller_Nature_2020_Escherichia_coli:0.054;Ecoli_Krug_2013:0.051;PXD020761_Midha_Sci_Data_2020_Ecoli_DIA-SWATH:0.05;ecoli1_HCD_CID_PRIDE:0.047;Ecoli_emPAI_arike_2012:0.046;ecoli2_resolutionCombination_PRIDE:0.045;Escherichia_coli_SC_biomart_12189_E__2reps:0.044;WT-lewis-peptide_count:0.04;Ecoli_APEX_arike_2012:0.038;Ecoli_Krug_2013_emPAI:0.029;511145_GPM_201408:0.02;Taniguchi_2010_Table_S6:0.014;Lu_ecoli_2007:0.013;E_coli_Wisniewski_2014_cpc:0.007;Ecoli_strainK12_PRIDE:0.004;
#publication_year: 2026
#filename: 511145-WHOLE_ORGANISM-integrated.txt
#
#gene_name	string_external_id	abundance
osmB	511145.b1283	340
gabD	511145.b2661	339
secA	511145.b0098	338
obgE	511145.b3183	337
speB	511145.b2937	336
purT	511145.b1849	334
osmF	511145.b2131	333
ygeY	511145.b2872	333
metF	511145.b3941	333
dld	511145.b2133	333
mioC	511145.b3742	332
fadB	511145.b3846	331
tdcF	511145.b3113	331
gyrB	511145.b3699	331
galK	511145.b0757	331
yciE	511145.b1257	330
tyrA	511145.b2600	330
araF	511145.b1901	330
yfcZ	511145.b2343	329
nuoG	511145.b2283	329
mscS	511145.b2924	329
fumA	511145.b1612	328
thiD	511145.b2103	328
ychF	511145.b1203	324
cirA	511145.b2155	322
gldA	511145.b3945	322
gadC	511145.b1492	322
tyrB	511145.b4054	322
hisC	511145.b2021	321
nagB	511145.b0678	320
pntA	511145.b1603	319
asnB	511145.b0674	318
ribC	511145.b1662	316
glgA	511145.b3429	316
menB	511145.b2262	316
glcG	511145.b2977	315
ptsN	511145.b3204	314
dcrB	511145.b3472	314
proC	511145.b0386	313
metC	511145.b3008	313
yjbR	511145.b4057	313
glgC	511145.b3430	312
ldhA	511145.b1380	311
secG	511145.b3175	311
ybeZ	511145.b0660	310
ymdF	511145.b4518	309
lolA	511145.b0891	308
bamA	511145.b0177	307
kdgR	511145.b1827	307
hpt	511145.b0125	307
psd	511145.b4160	306
ubiE	511145.b3833	304
pssA	511145.b2585	304
ftsY	511145.b3464	303
yicC	511145.b3644	303
selD	511145.b1764	302
cbpA	511145.b1000	302
purR	511145.b1658	301
yfgD	511145.b2495	301
erpA	511145.b0156	301
cstA	511145.b0598	301
dut	511145.b3640	300
def	511145.b3287	300
lepA	511145.b2569	300
sthA	511145.b3962	298
guaC	511145.b0104	297
ydiH	511145.b1685	297
bamB	511145.b2512	297
pdxH	511145.b1638	296
pepA	511145.b4260	296
ansB	511145.b2957	295
yeaD	511145.b1780	295
tatA	511145.b3836	295
asnA	511145.b3744	295
cysJ	511145.b2764	294
pyrH	511145.b0171	294
pmbA	511145.b4235	294
dapB	511145.b0031	293
fkpB	511145.b0028	293
yciO	511145.b1267	293
manY	511145.b1818	292
yqhD	511145.b3011	291
yedF	511145.b1930	291
ilvE	511145.b3770	291
curA	511145.b1449	291
yihI	511145.b3866	289
rfbA	511145.b2039	289
gpt	511145.b0238	289
hldE	511145.b3052	289
ucpA	511145.b2426	288
gabT	511145.b2662	288
glk	511145.b2388	288
uspD	511145.b3923	286
tabA	511145.b4252	285
ykgM	511145.b0296	285
speA	511145.b2938	285
yjdN	511145.b4107	285
trpR	511145.b4393	285
ybjP	511145.b0865	285
purU	511145.b1232	284
rimM	511145.b2608	282
yecA	511145.b1908	280
yhhA	511145.b3448	278
lsrF	511145.b1517	278
ydcF	511145.b1414	278
thiM	511145.b2104	277
wzzB	511145.b2027	276
hflC	511145.b4175	276
suhB	511145.b2533	276
gloA	511145.b1651	276
nuoI	511145.b2281	276
trpD	511145.b1263	275
ndh	511145.b1109	275
rbsD	511145.b3748	275
pepT	511145.b1127	274
hslO	511145.b3401	274
yibL	511145.b3602	272
nuoB	511145.b2287	272
pliG	511145.b1178	272
mgsA	511145.b0963	272
xseB	511145.b0422	271
ygaM	511145.b2672	270
kduD	511145.b2842	267
dacA	511145.b0632	267
cyoA	511145.b0432	265
ybiB	511145.b0800	264
ygfB	511145.b2909	263
lacZ	511145.b0344	263
hisB	511145.b2022	262
proA	511145.b0243	262
cheW	511145.b1887	262
ffh	511145.b2610	260
yiiS	511145.b3922	260
hspQ	511145.b0966	259
gcvT	511145.b2905	259
yqfB	511145.b2900	258
flgM	511145.b1071	257
azoR	511145.b1412	256
csgA	511145.b1042	256
argB	511145.b3959	256
borD	511145.b0557	256
clpA	511145.b0882	256
gcvP	511145.b2903	254
glpA	511145.b2241	254
ycdY	511145.b1035	253
xthA	511145.b1749	253
der	511145.b2511	252
ybgF	511145.b0742	252
ibaG	511145.b3190	252
yaiA	511145.b0389	252
lptB	511145.b3201	252
trpC	511145.b1262	251
ybiC	511145.b0801	251
polA	511145.b3863	251
uxaC	511145.b3092	251
cmk	511145.b0910	251
yggS	511145.b2951	250
dcp	511145.b1538	250
sdhD	511145.b0722	249
ybjQ	511145.b0866	248
bolA	511145.b0435	248
gnsA	511145.b4517	247
metB	511145.b3939	247
cysS	511145.b0526	247
mtn	511145.b0159	245
yajO	511145.b0419	245
yidB	511145.b3698	244
amtB	511145.b0451	244
yedP	511145.b1955	243
xylF	511145.b3566	242
yjdC	511145.b4135	242
fadA	511145.b3845	241
bglA	511145.b2901	239
argI	511145.b4254	239
fepA	511145.b0584	236
aroK	511145.b3390	235
pdxB	511145.b2320	235
fruB	511145.b2169	233
gloB	511145.b0212	230
cysN	511145.b2751	229
cheA	511145.b1888	229
yaiI	511145.b0387	228
glnK	511145.b0450	227
rhlB	511145.b3780	227
yfeX	511145.b2431	226
prc	511145.b1830	226
dnaJ	511145.b0015	225
nrdB	511145.b2235	225
ybcJ	511145.b0528	225
rpoS	511145.b2741	223
yheO	511145.b3346	223
mscL	511145.b3291	222
gshB	511145.b2947	220
gsiB	511145.b0830	220
yibT	511145.b4554	218
pfkB	511145.b1723	217
mtlA	511145.b3599	217
dsbC	511145.b2893	216
argS	511145.b1876	215
cusF	511145.b0573	215
lacI	511145.b0345	215
lysC	511145.b4024	214
yeeZ	511145.b2016	214
fsaA	511145.b0825	214
yraP	511145.b3150	214
fucO	511145.b2799	212
zapA	511145.b2910	212
exbB	511145.b3006	212
yggN	511145.b2958	211
nagE	511145.b0679	211
trpE	511145.b1264	211
cysD	511145.b2752	210
fnr	511145.b1334	209
mlaB	511145.b3191	209
pyrD	511145.b0945	207
nuoF	511145.b2284	206
secY	511145.b3300	205
ispG	511145.b2515	205
sspB	511145.b3228	205
thiE	511145.b3993	204
folX	511145.b2303	204
nuoE	511145.b2285	203
kbl	511145.b3617	203
thyA	511145.b2827	203
damX	511145.b3388	203
kdsB	511145.b0918	202
thrB	511145.b0003	202
lpxD	511145.b0179	200
uxuA	511145.b4322	200
fmt	511145.b3288	200
ynfB	511145.b1583	200
tsx	511145.b0411	200
ybhB	511145.b0773	198
rdgC	511145.b0393	198
roxA	511145.b1128	198
nlpA	511145.b3661	198
rcnB	511145.b2107	198
ilvN	511145.b3670	197
mukE	511145.b0923	197
