g1,g2,n1,n2,kappa_i,kappa_j,kappa_ij,eps_add,rho,eps_growth,growth_i,growth_j,growth_ij,J_support,J_dR,SL,panel,kappaV_i,kappaV_j,kappaV_ij,eps_masked,n_dis_ij,shared_subsystems
b0126,b2146,|can|,preT,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,1,
b0126,b0832,|can|,gsiD,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.8769972144269701,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,1,
b0126,b3396,|can|,mrcA,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,0,
b0126,b0429,|can|,cyoD,0.0,7798.596633039896,7798.596633039896,0.0,0.9999999999999999,-1.011038586185009e-09,0.87699721442697,0.7776142830847725,0.7776142830847725,0.0,0.0,False,X,0.0,7798.596633039896,7798.596633039896,0.0,1,
b0126,b0432,|can|,cyoA,0.0,7798.596633039896,7798.596633039896,0.0,0.9999999999999999,-1.011038586185009e-09,0.87699721442697,0.7776142830847725,0.7776142830847725,0.0,0.0,False,X,0.0,7798.596633039896,7798.596633039896,0.0,1,
b0126,b0723,|can|,sdhA,0.0,3719.237820017231,3719.237820017231,0.0,0.9999999999999998,-1.0945121475813835e-09,0.87699721442697,0.8418157926999568,0.8418157926999568,0.0,0.0,False,X,0.0,0.0,0.0,0.0,1,
b0126,b2283,|can|,nuoG,0.0,3294.285861140926,3294.285861140926,0.0,0.9999999999999998,-9.86372761246912e-10,0.87699721442697,0.7586431920374903,0.7586431920374903,0.0,0.0,False,X,0.0,3294.285861140926,3294.285861140926,0.0,3,
b0126,b2284,|can|,nuoF,0.0,3294.285861140926,3294.285861140926,0.0,0.9999999999999998,-9.86372761246912e-10,0.87699721442697,0.7586431920374903,0.7586431920374903,0.0,0.0,False,X,0.0,3294.285861140926,3294.285861140926,0.0,3,
b0126,b2278,|can|,nuoL,0.0,3294.285861140926,3294.285861140926,0.0,0.9999999999999998,-9.86372761246912e-10,0.87699721442697,0.7586431920374903,0.7586431920374903,0.0,0.0,False,X,0.0,3294.285861140926,3294.285861140926,0.0,3,
b0126,b0681,|can|,chiP,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,0,
b0126,b1473,|can|,yddG,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.8769972144269699,0.8769972144269699,0.0,0.0,False,B,0.0,0.0,0.0,0.0,3,
b0126,b0401,|can|,brnQ,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.8769972144269699,0.8769972144269699,0.0,0.0,False,B,0.0,0.0,0.0,0.0,3,
b0126,b2842,|can|,kduD,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,0,
b0126,b4101,|can|,phnG,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,1,
b0126,b2682,|can|,ygaZ,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,0,
b2341,b3846,fadJ,fadB,0.0,2.467218794755018,32.04701595077522,29.5797971560202,12.98912606327334,-0.005414670880815486,0.87699721442697,0.8745229204157265,0.8697742701388057,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,19,
b0125,b0238,hpt,gpt,0.0,0.0,0.0,0.0,0.5,-1.1402538913074522e-09,0.87699721442697,0.8769972144269701,0.8769972144269704,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,3,
b0474,b2518,adk,ndk,26.473733090728206,0.0,32.25565110234551,5.781918011617304,1.2184020663727568,-1.140251448816798e-09,0.8769949942192898,0.87699721442697,0.8769949942192898,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,13,
b0351,b1241,mhpF,adhE,0.0,0.0,0.0,0.0,0.5,-1.1402541133520572e-09,0.87699721442697,0.87699721442697,0.8769972144269701,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,1,
b1241,b1478,adhE,adhP,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,2,
b2502,b4226,ppx,ppa,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,0,
b2502,b2744,ppx,umpG,0.0,0.0,0.0,0.0,0.5,-1.140254779485872e-09,0.87699721442697,0.8769972144269701,0.8769972144269698,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,2,
b2744,b4226,umpG,ppa,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,1,
b2744,b4374,umpG,yjjG,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,1,
b2744,b3399,umpG,yrfG,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,2,
b1190,b4053,dadX,alr,0.0,0.0,18414.902542344018,18414.902542344018,9207451271172010.0,-1.0000000022805087,0.87699721442697,0.87699721442697,-0.0,0.0,0.0,True,ISO,0.0,0.0,18414.902542344018,18414.902542344018,1,
b2290,b2379,alaA,alaC,0.0,0.0,0.7811434617574928,0.7811434617574928,390571730879.2464,-1.1402538913074522e-09,0.87699721442697,0.87699721442697,0.8769972144269703,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,1,
b0063,b3564,araB,xylB,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269703,0.87699721442697,0.8769972144269703,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,3,
