g1,g2,n1,n2,chi,kappa_moma_i,kappa_moma_j,kappa_moma_ij_ifirst,kappa_moma_ij_jfirst,kappa_path_asymmetry,h_loop_ifirst,h_loop_jfirst,h_loop_asym,eps_add,kappa_i,kappa_j,kappa_ij,SL,panel
b2134,b2328,pbpG,mepA,1.4135638189485822e-14,5.195449018867153e-29,2.5439861277120914e-23,2.5457525319777866e-23,2.5439861277120914e-23,1.7664042656951855e-26,1.2881464048727275e-11,7.678567964078306e-13,1.3341501878675588e-11,0.0,0.0,0.0,0.0,False,ISO
b3477,b4242,nikB,mgtA,2.6654145203807236e-12,5.195449018867153e-29,1.494383354711543e-23,1.0949518915370175e-26,1.5392101173133943e-25,1.4297149281596926e-25,7.324994254994768e-12,4.8614294969011855e-12,1.1676148524689172e-11,0.0,0.0,0.0,0.0,False,ISO
b0724,b2286,sdhB,nuoC,101.28580689036127,596.1252493757021,3723.284124901975,4457.314257366219,4409.743367872508,47.57088949371064,294.7488844891265,277.50572552423955,101.28580689036143,9792.82985718344,3719.237820017231,3294.285861140926,16806.3535383416,False,A
b1296,b1640,puuP,anmK,3.6368911354722755e-14,5.195449018867153e-29,3.923131542640788e-27,4.229183312100229e-27,3.923131542640788e-27,3.060517694594411e-28,2.1779144243269655e-13,1.5044588165217404e-13,1.821450800398931e-13,0.0,0.0,0.0,0.0,False,B
b2601,b1186,aroF,nhaB,3.603439411517127e-14,5.195449018867153e-29,2.4614458773410447e-29,5.822609979889852e-29,2.5267334308338505e-29,3.295876549056001e-29,5.755215123304995e-14,6.894179966357916e-14,6.275990630441315e-14,0.0,0.0,0.0,0.0,False,B
b1640,b2146,anmK,preT,3.6368911354722755e-14,3.923131542640788e-27,5.195449018867153e-29,3.923131542640788e-27,4.229183312100229e-27,3.060517694594411e-28,1.5044588165217404e-13,2.1779144243269655e-13,1.821450800398931e-13,0.0,0.0,0.0,0.0,False,B
b0934,b2280,ssuC,nuoJ,7.09207814164568e-13,5.195449018867153e-29,3723.284124901975,3723.284124901973,3723.284124901975,1.8189894035458565e-12,124.81676294043339,124.81676294043353,9.2597748096475e-13,0.0,0.0,3294.285861140926,3294.285861140926,False,X
b2288,b2284,nuoA,nuoF,0.0,3723.284124901975,3723.284124901975,3723.284124901975,3723.284124901975,0.0,124.81676294043338,124.81676294043338,0.0,-3294.285861140926,3294.285861140926,3294.285861140926,3294.285861140926,False,A
b3736,b2286,atpF,nuoC,226.48252944535557,9110.51178279249,3723.284124901975,9110.51178279249,11494.996992553932,2384.485209761442,272.96569698184186,295.15464379674967,226.4825294453556,-3240.7517372117595,19586.667612014615,3294.285861140926,19640.20173594378,False,A
b0347,b2282,mhpA,nuoH,7.09207814164568e-13,5.195449018867153e-29,3723.284124901975,3723.284124901973,3723.284124901975,1.8189894035458565e-12,124.81676294043339,124.81676294043353,9.2597748096475e-13,0.0,0.0,3294.285861140926,3294.285861140926,False,X
b2148,b4231,mglC,yjfF,9.482221009833483e-13,1.304249885482352e-24,5.195449018867153e-29,1.304249885482352e-24,8.79173221854284e-25,4.25076663628068e-25,4.136604898171607e-12,4.458444488663626e-12,5.739529595875326e-12,0.0,0.0,0.0,0.0,False,ISO
